data_envio	estado	cidade	endereco	data_ocorrencia	forma	vitima	tipo	transfobia_quem	homofobia_quem	lesbofobia_quem	descricao	geocode_address	latitude	longitude
02/03/2016 21:27:21	Rio de Janeiro	Rio de Janeiro	Jacarepaguá	22/01/2016	Discriminação	Eu fui a vítima	Homofobia				Disseram ser ofensivo para as crianças a minha presença e da minha namorada na piscina do condomínio dela. 	Jacarepaguá Rio de Janeiro Rio de Janeiro	-22.9681736	-43.3907025
02/03/2016 21:30:48	Rio de Janeiro	Rio de Janeiro	Jacarepaguá	17/06/2015	Violência física	Eu presenciei	Homofobia				Minha amiga ao contar pra mãe que é lésbica, após ser xingada por ela foi quase estrangulada. Seu avô apareceu para impedir a mãe. 	Jacarepaguá Rio de Janeiro Rio de Janeiro	-22.9681736	-43.3907025
03/03/2016 02:56:55	Ceará	Juazeiro do Norte		03/12/2015	Violência verbal	Eu fui a vítima	Homofobia				Ataques verbais, xingamentos, insultos e calúnias para com toda a sociedade LGBT, mas principalmente com "Viados que não tem vergonha na cara e são uma decepção para os pais" (assim como dito pelo agressor).	 Juazeiro do Norte Ceará	-7.229036499999999	-39.3124461
03/03/2016 11:10:55	São Paulo	São Paulo	Rua Coriolano	16/11/2015	Violência verbal	Eu fui a vítima	Homofobia				Discussão dentro de uma academia, onde um dos alunos me atacou verbalmente citando que havia muitos gays ali, sendo que só havia eu proximo dele. Tive que cancelar a matrícula no primeiro dia de academia.	Rua Coriolano São Paulo São Paulo	-23.5260324	-46.6961003
03/03/2016 09:11:37	Minas Gerais	Belo Horizonte	Av. Afonso Pena 4001	10/01/2000	Discriminação	Eu fui a vítima	Homofobia				Colega de trabalho da Oi-Telemar se recusou a continuar colaborando comigo depois de saber sobre minha orientação sexual e fui substituído por outro funcionário. 	Av. Afonso Pena 4001 Belo Horizonte Minas Gerais	-19.9445387	-43.9223631
03/03/2016 09:20:47	Minas Gerais	Belo Horizonte	Rua Contendas 442	12/01/2016	Violência verbal	Eu fui a vítima	Homofobia				Estava passeando com meus cachorros quando, ao passar por um portão, outros cães que estavam do outro lado começaram a latir. Sem abrir a porta o proprietário do imóvel jogou uma bomba pelo alto do muro - quase me atingindo na cabeça - chamando-me de "bicha" e me ameaçando de morte por supostamente atiçar meus cães contra os dele. Nunca aticei cão algum, apenas passava pela calçada uma vez por semana pois era meu caminho. A cada tentativa de diálogo o irracional só berrava "Bicha! Viado!" recusando-se a se explicar.	Rua Contendas 442 Belo Horizonte Minas Gerais	-19.9332419	-43.970574
03/03/2016 09:35:22	São Paulo	Praia Grande		20/12/2010	Violência verbal	Eu fui a vítima	Homofobia				Ao andar de mãos dadas com meu namorado no calçadão, muitas pessoas gritavam ofensas e alguns garotos jogavam lixo (restos de côco e milho) que estavam em sacos nas calçadas.	 Praia Grande São Paulo	-24.0088727	-46.4125034
03/03/2016 11:30:05	São Paulo	São Paulo	Av. Mofarrej, 471	18/01/2016	Violência verbal	Eu fui a vítima	Homofobia				Na quadra do G. R. C. S. E. E. Escola de Samba Império Lapeano, o mestre da bateria da escola (Mestre Colorado, Emerson Carlos Golin) se aproximava de casais homossexuais para ofender, separá-los, ameaçar e mandar procurar outro lugar. Um amigo foi ameaçado de morte.	Av. Mofarrej, 471 São Paulo São Paulo	-23.5276039	-46.7406564
03/03/2016 10:18:38	Distrito Federal	Brasília	Asa Norte	15/07/2015	Violência verbal	Eu fui a vítima	Homofobia				Estava em um bar conversando com minha prima sobre questões LGBT, quando um rapaz da mesa ao lado se achou no direito de participar da conversa. Chegou falando coisas como "existe uma diferença entre gay e homossexual, porque o homossexual se dá ao respeito e o gay não". Ao ver que todos na mesa discordavam desse pensamento, o rapaz olhou pra mim e levantou o dedo do meio. Antes que pudesse completar suas ofensas, o dono do bar se aproximou e o avisou que estava fechando a conta da mesa dele, e que aquele bar não tolerava nenhum tipo de discriminação.	Asa Norte Brasília Distrito Federal	-15.7735664	-47.8861326
03/03/2016 14:01:54	São Paulo	São Paulo	Itaim Bibi	10/09/2015	Violência verbal	Eu fui a vítima	Lesbofobia			Bissexual	Dentro de um ônibus o motorista usou de violência verbal pra tentar me tirar de dentro do transporte.	Itaim Bibi São Paulo São Paulo	-23.5858164	-46.6826257
03/03/2016 11:00:12	São Paulo	Itu	Centro	15/09/2011	Violência física	Eu fui a vítima	Homofobia				Me empurravam e passavam a perna para eu cair no colégio.	Centro Itu São Paulo	-23.2548858	-47.2931392
03/03/2016 14:36:09	São Paulo	São Paulo	Avenida Angélica	14/01/2016	Violência verbal	Eu fui a vítima	Homofobia		Gay		Gritos de "bichona".	Avenida Angélica São Paulo São Paulo	-23.5444736	-46.6571
03/03/2016 11:16:37	Minas Gerais	Belo Horizonte		12/01/2016	Violência verbal	Eu fui a vítima	Homofobia				Palavras de baixo nível, com bicha, gay, viadinho.	 Belo Horizonte Minas Gerais	-19.9166813	-43.9344931
03/03/2016 11:21:10	Rio Grande do Sul	Porto Alegre		02/03/2016	Discriminação	Eu presenciei	Transfobia	Mulher trans			Estávamos (minha família) em casa e em algum momento falamos sobre a ideia de uma prima trans e o seu companheiro adotarem uma criança. Neste momento, minha mãe começou a dizer que achava complicado, que ainda não conseguia ver "o meu primo como prima", que, apesar de ter presenciado toda a transformação dela e fazer esforço para aceitá-la, ainda não se sentia completamente à vontade junto dela.	 Porto Alegre Rio Grande do Sul	-30.0346471	-51.2176584
03/03/2016 11:25:49	Alagoas	Arapiraca	R. Maurício Pereira, s/n - Centro	01/05/2008	Violência física	Eu fui a vítima	Homofobia				Agressões físicas e psicológicas durante 5 anos.	R. Maurício Pereira, s/n - Centro Arapiraca Alagoas	-9.7497239	-36.6660889
03/03/2016 11:27:21	Sergipe	Aracaju	Bairro Salgado Filho	15/05/2013	Violência verbal	Eu fui a vítima	Homofobia				Agressões verbais e psicológicas em público.	Bairro Salgado Filho Aracaju Sergipe	-10.9289225	-37.056472
03/03/2016 14:53:44	São Paulo	São Paulo	Butanta USP 	03/03/2016	Discriminação	Eu fui a vítima	Homofobia		Gay		Um heterossexual zoou com minha voz 	Butanta USP  São Paulo São Paulo	-23.5541747	-46.7238265
03/03/2016 11:32:21	Santa Catarina	florianópolis	kobrasol	11/02/2016	Violência física	Eu presenciei	Transfobia	Travesti			Garafadas jogadas por um Gol branco que passava na rua.	kobrasol florianópolis Santa Catarina	-27.5978045	-48.6163371
03/03/2016 11:49:23	Rio Grande do Sul	Porto Alegre	Cel. Marcos	20/08/2015	Discriminação	Eu presenciei	Transfobia	Mulher trans			Presenciei uma conhecida afirmar que transgênero não existia, que é apenas um reflexo da sociedade e não importa como a pessoa se sente, ela nasceu homem, vai permanecer homem.	Cel. Marcos Porto Alegre Rio Grande do Sul	-30.13187	-51.23445700000001
